family,year,quantity,unit,source_title,source_url,locator
Gold Fields,1932,746.4834432,t output,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,"Gold table, 1932 world total."
Gold Fields,1935,920.66291328,t output,Statistical Summary of the Mineral Industry 1935-1937,https://nora.nerc.ac.uk/id/eprint/535283/1/SS_1935_1937.pdf,"Gold table, 1935 world total."
Gold Fields,1936,1035.74577744,t output,Statistical Summary of the Mineral Industry 1935-1937,https://nora.nerc.ac.uk/id/eprint/535283/1/SS_1935_1937.pdf,"Gold table, 1936 world total."
Gold Fields,1937,1076.1802972799999,t output,Statistical Summary of the Mineral Industry 1935-1937,https://nora.nerc.ac.uk/id/eprint/535283/1/SS_1935_1937.pdf,"Gold table, 1937 world total."
Gold Fields,1945,646.95231744,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Gold table, 1945 world total."
Gold Fields,1946,662.50405584,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Gold table, 1946 world total."
Gold Fields,1947,678.05579424,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Gold table, 1947 world total."
Gold Fields,1948,696.71788032,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Gold table, 1948 world total."
Gold Fields,1949,727.82135712,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Gold table, 1949 world total."
Gold Fields,1950,752.7041385599999,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Gold table, 1950 world total."
Gold Fields,1951,737.15240016,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Gold table, 1951 world total."
Gold Fields,1952,755.81448624,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Gold table, 1952 world total."
Gold Fields,1953,752.7041385599999,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Gold table, 1953 world total."
Gold Fields,1954,799.35935376,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Gold table, 1954 world total."
Gold Fields,1955,836.68352592,t output,Statistical Summary of the Mineral Industry 1950-1955,https://nora.nerc.ac.uk/id/eprint/535280/1/SS_1950_1955.pdf,"Gold table, 1955 world total."
Gold Fields,2019,3313.849,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Gold table, 2019 world total = 3,313,849 kg."
Gold Fields,2020,3202.74,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Gold table, 2020 world total = 3,202,740 kg."
Gold Fields,2021,3220.656,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Gold table, 2021 world total = 3,220,656 kg."
Gold Fields,2022,3297.464,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Gold table, 2022 world total = 3,297,464 kg."
Gold Fields,2023,3266.418,t output,World Mining Data 2025,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2025.pdf,"Gold table, 2023 world total = 3,266,418 kg."
Iron Mine,1930,180856349.76639998,t output,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,"Iron ore table, 1930 world total = 178,000,000 long tons actual weight."
Iron Mine,1931,119893535.2384,t output,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,"Iron ore table, 1931 world total."
Iron Mine,1932,76203518.16,t output,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,"Iron ore table, 1932 world total."
Iron Mine,1935,142246567.232,t output,Statistical Summary of the Mineral Industry 1935-1937,https://nora.nerc.ac.uk/id/eprint/535283/1/SS_1935_1937.pdf,"Iron ore table, 1935 world total."
Iron Mine,1936,172727974.496,t output,Statistical Summary of the Mineral Industry 1935-1937,https://nora.nerc.ac.uk/id/eprint/535283/1/SS_1935_1937.pdf,"Iron ore table, 1936 world total."
Iron Mine,1937,217434038.48319998,t output,Statistical Summary of the Mineral Industry 1935-1937,https://nora.nerc.ac.uk/id/eprint/535283/1/SS_1935_1937.pdf,"Iron ore table, 1937 world total."
Iron Mine,1945,159519364.68159997,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Iron ore table, 1945 world total."
Iron Mine,1946,156471223.9552,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Iron ore table, 1946 world total."
Iron Mine,1947,190000771.94559997,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Iron ore table, 1947 world total."
Iron Mine,1948,220482179.20959997,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Iron ore table, 1948 world total."
Iron Mine,1949,223530319.936,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Iron ore table, 1949 world total."
